location,date,total_cases,total_deaths,DeathPercentage
United States,5/8/2020,1295019,80688,6.230642176
Canada,5/7/2020,66201,5387,8.137339315
United States,5/7/2020,1268180,78925,6.223485625
Canada,5/6/2020,64694,5240,8.099669212
United States,5/6/2020,1240769,76996,6.205506424
Canada,5/5/2020,63215,5081,8.037649292
United States,5/5/2020,1216209,74682,6.140556434
Canada,5/4/2020,61957,4911,7.926465129
United States,5/4/2020,1191678,72440,6.078823306
Canada,5/3/2020,60504,4669,7.716845167
United States,5/3/2020,1167593,71061,6.086110485
Canada,5/2/2020,57926,4529,7.81859614
United States,5/2/2020,1143296,69871,6.111365736
Canada,5/1/2020,56343,4381,7.775588804
United States,5/1/2020,1115946,68140,6.10603022
Canada,4/30/2020,54457,4179,7.67394458
United States,4/30/2020,1081020,66231,6.126713659
Canada,4/29/2020,52865,4000,7.566442826
United States,4/29/2020,1051800,64036,6.088229701
Canada,4/28/2020,51150,3756,7.343108504
United States,4/28/2020,1025362,61618,6.009389855
Canada,4/27/2020,49616,3559,7.173089326
United States,4/27/2020,1000785,59394,5.934741228
Canada,4/26/2020,48033,3374,7.024337435
United States,4/26/2020,977082,57886,5.924374822
Canada,4/25/2020,46371,3217,6.937525609
United States,4/25/2020,950581,56487,5.942365774
Canada,4/24/2020,44919,3030,6.745475189
United States,4/24/2020,920185,54776,5.95271603
Canada,4/23/2020,43299,2850,6.582138156
United States,4/23/2020,887858,52588,5.923019222
Canada,4/22/2020,41663,2679,6.430165855
United States,4/22/2020,854288,50132,5.868278613
Canada,4/21/2020,39402,2484,6.304248515
United States,4/21/2020,825429,47672,5.775421023
Canada,4/20/2020,37658,2291,6.083700674
United States,4/20/2020,799512,45158,5.648195399
Canada,4/19/2020,35633,2145,6.019700839
United States,4/19/2020,769684,42929,5.577483747
Canada,4/18/2020,34356,1987,5.783560368
United States,4/18/2020,743588,40958,5.508157743
Canada,4/17/2020,32814,1844,5.61955263
United States,4/17/2020,715656,38985,5.447449613
Canada,4/16/2020,30809,1718,5.576292642
United States,4/16/2020,682626,36875,5.401933123
Canada,4/15/2020,28209,1515,5.370626396
United States,4/15/2020,652611,34732,5.322006525
Canada,4/14/2020,27035,1361,5.034214907
United States,4/14/2020,627205,32120,5.121132644
Canada,4/13/2020,25680,1225,4.770249221
United States,4/13/2020,598380,29686,4.961061533
Canada,4/12/2020,24299,1095,4.506358286
United States,4/12/2020,571440,27677,4.843378132
Canada,4/11/2020,23316,986,4.228855721
United States,4/11/2020,544183,25803,4.741603468
Canada,4/10/2020,22059,867,3.930368557
United States,4/10/2020,515081,23676,4.5965586
Canada,4/9/2020,20654,771,3.732933088
United States,4/9/2020,480667,21482,4.469206332
Canada,4/8/2020,19141,648,3.385403061
United States,4/8/2020,444731,19279,4.334980022
Canada,4/7/2020,17872,581,3.250895255
United States,4/7/2020,413516,17119,4.139863996
Canada,4/6/2020,16563,520,3.139527863
United States,4/6/2020,382747,14544,3.79989915
Canada,4/5/2020,15756,435,2.760853008
United States,4/5/2020,351354,12773,3.635364903
Canada,4/4/2020,12978,360,2.773925104
United States,4/4/2020,321477,11158,3.470854836
Canada,4/3/2020,12437,277,2.227225215
United States,4/3/2020,289087,9595,3.319070038
Canada,4/2/2020,11284,224,1.985111663
United States,4/2/2020,256792,8164,3.179226767
Canada,4/1/2020,9560,175,1.830543933
United States,4/1/2020,224560,6652,2.962237264
